# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-13 15:18:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4283284196 (Default)
# output
#   file = sporadic-survival-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.230728
# Diagonal elements of inverse mass matrix:
# 0.00397548, 0.00581114, 0.00480184, 0.0394736, 0.0277306, 0.00500012
-21.9336,0.773797,0.230728,4,15,0,26.1229,0.0180081,0.0862788,0.310196,3.12505,2.58368,1.47207,0.988613,0.948429,0.842635,0.454888,0.924642,0.731322,0.464193,0.142973
-21.6293,0.98848,0.230728,3,7,0,24.7706,0.0183929,0.0904422,0.312228,2.59824,2.70637,1.51049,0.988143,0.945138,0.839509,0.478096,0.923025,0.723137,0.465602,0.153271
-21.4997,0.989333,0.230728,4,15,0,23.702,0.0184328,0.0833025,0.330312,2.86162,2.92442,1.584,0.987742,0.947701,0.82865,0.459331,0.922668,0.739181,0.459583,0.152981
-21.5581,0.96712,0.230728,4,15,0,23.0247,0.0188046,0.0877423,0.31007,3.2133,2.84366,1.63736,0.987642,0.945784,0.839042,0.452502,0.921571,0.731903,0.477946,0.15583
-23.7755,0.810572,0.230728,3,15,0,25.8682,0.0178968,0.093046,0.310724,2.60964,3.13887,1.707,0.987775,0.940759,0.834267,0.474935,0.924693,0.722228,0.482129,0.171223
-25.309,0.897969,0.230728,4,15,0,28.0921,0.018261,0.0853529,0.304372,3.71957,2.95028,1.71293,0.987822,0.94651,0.840221,0.43638,0.923635,0.738508,0.487769,0.157951
-22.9587,1,0.230728,3,15,0,26.2693,0.0183807,0.083116,0.309945,3.62508,2.59237,1.68581,0.988378,0.95038,0.84492,0.456643,0.923809,0.744168,0.484054,0.165527
-23.1166,0.886116,0.230728,4,23,0,25.5994,0.0165466,0.0835734,0.332777,2.63496,2.89386,1.62161,0.989026,0.947803,0.828779,0.476566,0.930012,0.739834,0.46183,0.163163
-22.508,0.99852,0.230728,4,15,0,24.9788,0.0196903,0.091072,0.314468,3.18525,2.78868,1.60987,0.987171,0.944272,0.83805,0.453919,0.918292,0.724614,0.472906,0.154109
-24.762,0.886496,0.230728,4,15,0,28.3304,0.0170468,0.0832738,0.324412,4.066,2.45763,1.55937,0.989453,0.951264,0.841123,0.440796,0.928808,0.741108,0.464254,0.15281
-23.4711,0.969023,0.230728,4,15,0,27.2611,0.0173593,0.09454,0.349598,3.63408,2.54307,1.61154,0.989101,0.944444,0.830102,0.452354,0.927557,0.71926,0.45332,0.158021
-23.6735,0.96359,0.230728,4,15,0,27.3588,0.018668,0.0785966,0.289207,2.32885,3.6973,1.4653,0.986495,0.946134,0.832471,0.450964,0.920335,0.743343,0.472534,0.146963
-22.8148,0.992401,0.230728,4,19,0,24.8974,0.0162813,0.0802803,0.311068,2.37469,2.94058,1.47889,0.989122,0.94923,0.834833,0.477677,0.93063,0.742662,0.461817,0.152141
-21.9176,0.900236,0.230728,4,31,0,25.0691,0.0183689,0.0826198,0.310144,2.94742,2.92208,1.7145,0.987798,0.948285,0.838419,0.467477,0.923284,0.74432,0.4843,0.167327
-21.8336,0.998549,0.230728,4,15,0,23.0731,0.0181887,0.0879702,0.317463,3.18036,2.42745,1.45947,0.988815,0.948861,0.843442,0.461608,0.924297,0.728395,0.459378,0.145659
-23.5073,0.772603,0.230728,4,15,0,25.6388,0.0175654,0.0784591,0.297398,2.34354,3.92959,1.54247,0.987042,0.945344,0.827002,0.450916,0.924587,0.745213,0.473106,0.155354
-25.0161,0.997209,0.230728,4,15,0,29.8989,0.0159389,0.0771914,0.284891,1.9506,3.58619,1.24142,0.988539,0.947233,0.833039,0.465181,0.930596,0.740461,0.453953,0.133915
-23.1673,0.931991,0.230728,4,15,0,26.9494,0.0170142,0.0721317,0.281134,1.87116,4.15666,1.34606,0.987217,0.948396,0.82953,0.468276,0.926026,0.754189,0.46564,0.15057
-23.5336,0.942914,0.230728,5,31,0,25.3303,0.0175675,0.0777223,0.269583,2.20159,3.33329,1.33344,0.987704,0.948282,0.844862,0.460214,0.924671,0.742739,0.476792,0.136431
-22.8112,0.950529,0.230728,3,15,0,25.4868,0.0169494,0.0750884,0.308788,2.2485,3.42687,1.46356,0.988025,0.949619,0.827393,0.465865,0.927314,0.75219,0.459434,0.151089
-23.7176,0.961666,0.230728,4,15,0,25.1605,0.017493,0.0745393,0.285269,2.52427,3.37666,1.63054,0.987722,0.95041,0.840515,0.464024,0.925703,0.757941,0.491716,0.1625
-22.5203,0.871853,0.230728,4,23,0,26.3883,0.0183365,0.0941054,0.309141,3.22633,2.45349,1.49023,0.988672,0.945346,0.846385,0.460959,0.923759,0.716663,0.467755,0.148364
-21.3087,0.995347,0.230728,4,15,0,23.8774,0.0174923,0.0777749,0.316007,2.90296,2.98317,1.65798,0.988272,0.950657,0.834233,0.461492,0.926339,0.75289,0.475153,0.160247
-21.2073,0.945381,0.230728,4,15,0,24.668,0.0184184,0.0929974,0.319278,2.98221,2.66022,1.52893,0.988214,0.944125,0.837923,0.462246,0.923079,0.718841,0.463035,0.149736
-22.176,0.830453,0.230728,4,15,0,25.8886,0.0182397,0.0805699,0.301186,2.8867,2.94642,1.51059,0.987827,0.949061,0.839247,0.449796,0.923154,0.742897,0.471645,0.143016
-20.8308,0.940485,0.230728,2,7,0,25.6664,0.0185784,0.0832696,0.30125,2.61127,2.9064,1.52405,0.987673,0.947764,0.840129,0.468276,0.921976,0.737585,0.473104,0.151402
-21.6048,0.947744,0.230728,3,15,0,22.2084,0.018137,0.0809495,0.295746,2.8067,2.82855,1.50804,0.98809,0.949631,0.84375,0.459669,0.92375,0.742546,0.47598,0.146282
-22.6786,0.99291,0.230728,3,7,0,23.116,0.0184519,0.0854982,0.300025,2.20901,3.45012,1.43547,0.986948,0.942974,0.830537,0.465489,0.921374,0.727885,0.462732,0.148917
-22.7309,0.973911,0.230728,4,15,0,23.6979,0.0183451,0.0846854,0.303573,2.13426,3.33888,1.43253,0.987169,0.944087,0.830595,0.475373,0.921923,0.729951,0.460403,0.152227
-24.9447,0.945122,0.230728,4,31,0,26.5513,0.0160419,0.0837542,0.260737,2.12925,3.83383,1.386,0.988227,0.942099,0.84332,0.455352,0.930277,0.72898,0.487185,0.144285
-22.8744,0.982831,0.230728,3,7,0,27.291,0.0169364,0.0784187,0.289111,1.93369,3.97022,1.42366,0.98745,0.945033,0.828755,0.473833,0.926697,0.741837,0.467686,0.158131
-23.94,0.936024,0.230728,3,7,0,25.4246,0.0181147,0.0778294,0.266779,1.9086,4.13831,1.42405,0.986428,0.944777,0.837663,0.472357,0.921923,0.742811,0.484719,0.159062
-24.7094,0.945907,0.230728,4,15,0,26.3743,0.0153625,0.0734313,0.275655,1.88989,3.65192,1.32098,0.988887,0.949459,0.837547,0.477271,0.933025,0.751613,0.469233,0.147605
-23.378,0.991502,0.230728,4,15,0,26.4162,0.0165803,0.0713212,0.286268,2.03672,4.01194,1.47276,0.987675,0.949605,0.83028,0.467577,0.928191,0.759757,0.47439,0.159344
-23.9297,0.989731,0.230728,3,15,0,25.4476,0.0166292,0.0710144,0.26055,1.98287,4.24176,1.3846,0.987433,0.948912,0.839272,0.458663,0.927588,0.757758,0.485961,0.149795
